station_id,station_name,avg_pm25,avg_pm10,avg_no2,avg_no,avg_nox,pressure_score,pressure_rank,pressure_class,pressure_status,data_completeness
1,"Mazgaon, Mumbai - IITM",48.98,93.7,47.92,11.86,63.48,70.81,1,HIGH,HIGH PRESSURE,100.0
2,"Malad West, Mumbai - IITM",39.08,114.7,30.54,15.84,33.03,46.3,2,MODERATE,MODERATE PRESSURE,100.0
3,"Bandra Kurla Complex, Mumbai - MPCB",42.62,110.43,30.04,23.11,35.53,45.3,3,MODERATE,MODERATE PRESSURE,100.0
4,"Sion, Mumbai - MPCB",36.14,91.8,32.13,27.04,62.96,43.07,4,MODERATE,MODERATE PRESSURE,100.0
5,"Chakala-Andheri East, Mumbai - IITM",37.62,91.92,45.44,14.43,35.2,42.28,5,MODERATE,MODERATE PRESSURE,100.0
6,"Kherwadi_Bandra East, Mumbai - MPCB",38.23,93.66,28.7,25.79,35.31,41.23,6,MODERATE,MODERATE PRESSURE,100.0
7,"Vasai West, Mumbai - MPCB",27.61,91.85,22.0,40.83,62.73,41.15,7,MODERATE,MODERATE PRESSURE,100.0
8,"Borivali East, Mumbai - IITM",40.23,88.5,49.87,7.05,21.11,41.02,8,MODERATE,MODERATE PRESSURE,100.0
9,"Navy Nagar-Colaba, Mumbai - IITM",39.37,94.7,47.48,9.07,22.54,40.97,9,MODERATE,MODERATE PRESSURE,100.0
10,"Deonar, Mumbai - IITM",43.15,119.44,21.25,14.7,36.9,40.6,10,MODERATE,MODERATE PRESSURE,100.0
11,"Siddharth Nagar-Worli, Mumbai - IITM",44.49,93.41,35.96,5.44,19.34,40.15,11,MODERATE,MODERATE PRESSURE,100.0
12,"Bandra Kurla Complex, Mumbai - IITM",35.01,105.47,20.53,30.75,46.45,38.81,12,MODERATE,LOW PRESSURE,100.0
13,"Shivaji Nagar, Mumbai - BMC",41.17,99.91,27.72,9.89,21.09,38.48,13,MODERATE,LOW PRESSURE,100.0
14,"Mulund West, Mumbai - MPCB",30.9,85.84,13.6,35.92,50.97,37.66,14,MODERATE,LOW PRESSURE,100.0
15,"Vile Parle West, Mumbai - MPCB",28.55,91.76,26.42,17.59,39.48,36.44,15,MODERATE,LOW PRESSURE,100.0
16,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",27.14,93.9,19.73,37.36,53.91,36.32,16,MODERATE,LOW PRESSURE,100.0
17,"Chembur, Mumbai - MPCB",37.98,83.91,31.85,4.85,20.48,35.3,17,MODERATE,LOW PRESSURE,100.0
18,"Kandivali East, Mumbai - MPCB",33.18,95.36,16.15,11.85,29.55,33.12,18,MODERATE,LOW PRESSURE,100.0
19,"Ghatkopar, Mumbai - BMC",31.3,80.06,29.39,12.73,24.12,32.59,19,MODERATE,LOW PRESSURE,100.0
20,"Kurla, Mumbai - MPCB",36.46,94.35,8.88,8.62,17.2,30.2,20,MODERATE,LOW PRESSURE,100.0
21,"Mindspace-Malad West, Mumbai - MPCB",34.45,73.79,21.85,8.56,16.2,29.32,21,MODERATE,LOW PRESSURE,100.0
22,"Worli, Mumbai - MPCB",35.12,87.97,11.73,12.55,19.11,28.1,22,MODERATE,LOW PRESSURE,100.0
23,"Byculla, Mumbai - BMC",31.51,69.29,25.87,8.08,19.42,27.99,23,MODERATE,LOW PRESSURE,100.0
24,"Colaba, Mumbai - MPCB",25.25,70.64,19.88,13.7,33.48,27.7,24,MODERATE,LOW PRESSURE,100.0
25,"Sewri, Mumbai - BMC",30.06,71.22,19.78,12.33,13.57,26.47,25,MODERATE,LOW PRESSURE,100.0
26,"Powai, Mumbai - MPCB",26.88,85.11,10.65,9.98,20.53,25.72,26,MODERATE,LOW PRESSURE,100.0
27,"Khindipada-Bhandup West, Mumbai - IITM",30.05,68.89,16.38,4.79,14.48,24.7,27,LOW,LOW PRESSURE,100.0
28,"Kandivali West, Mumbai - BMC",30.35,59.82,20.02,3.68,12.91,21.56,28,LOW,LOW PRESSURE,100.0
29,"Borivali East, Mumbai - MPCB",23.27,64.57,7.94,16.48,22.96,21.13,29,LOW,LOW PRESSURE,100.0
30,"Bandra, Mumbai - MPCB",,,,,,,30,UNKNOWN,UNKNOWN,0.0
